date,market,period
2013-05-07,US,0.109999
2013-05-07,NL,0.226999
2013-05-08,GB,0.296
2013-05-08,US,0.116
2013-05-08,NL,0.213
2013-05-09,GB,0.281
2013-05-09,US,0.109999
2013-05-09,NL,0.203
2013-05-10,GB,0.203
2013-05-10,US,0.104
2013-05-10,NL,0.181999
2013-05-13,GB,0.297
2013-05-13,US,0.129
2013-05-13,NL,0.259999
2013-05-14,GB,0.218
2013-05-14,US,0.119999
2013-05-14,NL,0.234
2013-05-15,GB,0.218
2013-05-15,US,0.109999
2013-05-15,NL,0.178
2013-05-16,GB,0.218999
2013-05-16,US,0.101
2013-05-16,NL,0.169999
2013-05-17,GB,0.203
2013-05-17,US,0.109999
2013-05-17,NL,0.141
2013-05-20,GB,0.211
2013-05-20,US,0.119999
2013-05-20,NL,0.204999
2013-05-21,GB,0.234499
2013-05-21,US,0.109999
2013-05-21,NL,0.155999
2013-05-22,GB,0.167
2013-05-22,US,0.07
2013-05-22,NL,0.112
2013-05-23,GB,0.141999
2013-05-23,US,0.091
2013-05-23,NL,0.118
2013-05-24,GB,0.189
2013-05-24,US,0.100999
2013-05-24,NL,0.14
2013-05-28,GB,0.219
2013-05-28,US,0.1
2013-05-28,NL,0.187999
2013-05-29,GB,0.197
2013-05-29,US,0.093999
2013-05-29,NL,0.160999
2013-05-30,GB,0.202
2013-05-30,US,0.099
2013-05-30,NL,0.156
2013-05-31,GB,0.161
2013-05-31,US,0.099
2013-05-31,NL,0.142
2013-06-03,GB,0.123999
2013-06-03,US,0.084999
2013-06-03,NL,0.11
2013-06-04,GB,0.184999
2013-06-04,US,0.099
2013-06-04,NL,0.136999
2013-06-05,GB,0.196999
2013-06-05,US,0.089999
2013-06-05,NL,0.121
2013-06-06,GB,0.187999
2013-06-06,US,0.089999
2013-06-06,NL,0.124999
2013-06-07,GB,0.149999
2013-06-07,US,0.09
2013-06-07,NL,0.112
2013-06-10,GB,0.12
2013-06-10,US,0.098999
2013-06-10,NL,0.14
2013-06-11,GB,0.111
2013-06-11,US,0.083
2013-06-11,NL,0.124999
2013-06-12,GB,0.107
2013-06-12,US,0.08
2013-06-12,NL,0.123
2013-06-13,GB,0.1
2013-06-13,US,0.089999
2013-06-13,NL,0.112999
2013-06-14,GB,0.128999
2013-06-14,US,0.094999
2013-06-14,NL,0.137999
2013-06-17,GB,0.101
2013-06-17,US,0.09
2013-06-17,NL,0.141
2013-06-18,GB,0.119999
2013-06-18,US,0.099
2013-06-18,NL,0.139999
2013-06-19,GB,0.109
2013-06-19,US,0.072
2013-06-19,NL,0.170999
2013-06-20,GB,0.11
2013-06-20,US,0.068999
2013-06-20,NL,0.115
2013-06-21,GB,0.102
2013-06-21,US,0.071
2013-06-21,NL,0.112999
2013-06-24,GB,0.1
2013-06-24,US,0.061
2013-06-24,NL,0.109
2013-06-25,GB,0.1
2013-06-25,US,0.079999
2013-06-25,NL,0.121999
2013-06-26,GB,0.11
2013-06-26,US,0.08
2013-06-26,NL,0.14
2013-06-27,GB,0.111
2013-06-27,US,0.090999
2013-06-27,NL,0.141
2013-06-28,GB,0.1
2013-06-28,US,0.08
2013-06-28,NL,0.127
2013-07-01,GB,0.1
2013-07-01,US,0.099
2013-07-01,NL,0.137
2013-07-02,GB,0.101
2013-07-02,US,0.1
2013-07-02,NL,0.144
2013-07-03,GB,0.09
2013-07-03,US,0.08
2013-07-03,NL,0.145
2013-07-05,GB,0.089
2013-07-05,US,0.088999
2013-07-05,NL,0.120999
2013-07-08,GB,0.109999
2013-07-08,US,0.107
2013-07-08,NL,0.171
2013-07-09,GB,0.119
2013-07-09,US,0.1
2013-07-09,NL,0.156999
2013-07-10,GB,0.108999
2013-07-10,US,0.094
2013-07-10,NL,0.162999
2013-07-11,GB,0.101
2013-07-11,US,0.081
2013-07-11,NL,0.14
2013-07-12,GB,0.12
2013-07-12,US,0.099999
2013-07-12,NL,0.155999
2013-07-15,GB,0.119999
2013-07-15,US,0.101
2013-07-15,NL,0.171999
2013-07-16,GB,0.12
2013-07-16,US,0.1
2013-07-16,NL,0.167999
2013-07-17,GB,0.11
2013-07-17,US,0.089999
2013-07-17,NL,0.143999
2013-07-18,GB,0.1
2013-07-18,US,0.09
2013-07-18,NL,0.153
2013-07-19,GB,0.109999
2013-07-19,US,0.089999
2013-07-19,NL,0.146
2013-07-22,GB,0.098999
2013-07-22,US,0.099999
2013-07-22,NL,0.155
2013-07-23,GB,0.091
2013-07-23,US,0.098999
2013-07-23,NL,0.156
2013-07-24,GB,0.099
2013-07-24,US,0.079999
2013-07-24,NL,0.124
2013-07-25,GB,0.099
2013-07-25,US,0.094999
2013-07-25,NL,0.158
2013-07-26,GB,0.099
2013-07-26,US,0.089999
2013-07-26,NL,0.157999
2013-07-29,GB,0.1
2013-07-29,US,0.09
2013-07-29,NL,0.166
2013-07-30,GB,0.109999
2013-07-30,US,0.091
2013-07-30,NL,0.186999
2013-07-31,GB,0.107
2013-07-31,US,0.08
2013-07-31,NL,0.156
2013-08-01,GB,0.129999
2013-08-01,US,0.079999
2013-08-01,NL,0.141999
2013-08-02,GB,0.13
2013-08-02,US,0.08
2013-08-02,NL,0.203
2013-08-05,GB,0.12
2013-08-05,US,0.1
2013-08-05,NL,0.218999
2013-08-06,GB,0.121
2013-08-06,US,0.099
2013-08-06,NL,0.197
2013-08-07,GB,0.119999
2013-08-07,US,0.099
2013-08-07,NL,0.193999
2013-08-08,GB,0.169999
2013-08-08,US,0.08
2013-08-08,NL,0.227
2013-08-09,GB,0.2
2013-08-09,US,0.079999
2013-08-09,NL,0.25
2013-08-12,GB,0.178999
2013-08-12,US,0.08
2013-08-12,NL,0.249999
2013-08-13,GB,0.13
2013-08-13,US,0.071
2013-08-13,NL,0.203
2013-08-14,GB,0.13
2013-08-14,US,0.076
2013-08-14,NL,0.203
2013-08-15,GB,0.136999
2013-08-15,US,0.06
2013-08-15,NL,0.169999
2013-08-16,GB,0.13
2013-08-16,US,0.079999
2013-08-16,NL,0.188
2013-08-19,GB,0.115999
2013-08-19,US,0.071
2013-08-19,NL,0.186999
2013-08-20,GB,0.12
2013-08-20,US,0.089999
2013-08-20,NL,0.187
2013-08-21,GB,0.09
2013-08-21,US,0.069999
2013-08-21,NL,0.166999
2013-08-22,GB,0.13
2013-08-22,US,0.097
2013-08-22,NL,0.203
2013-08-23,GB,0.13
2013-08-23,US,0.092
2013-08-23,NL,0.168
2013-08-27,GB,0.141
2013-08-27,US,0.068999
2013-08-27,NL,0.147499
2013-08-28,GB,0.109999
2013-08-28,US,0.08
2013-08-28,NL,0.140999
2013-08-29,GB,0.129999
2013-08-29,US,0.089999
2013-08-29,NL,0.172
2013-08-30,GB,0.134
2013-08-30,US,0.073499
2013-08-30,NL,0.145999
2013-09-03,GB,0.099999
2013-09-03,US,0.09
2013-09-03,NL,0.14
2013-09-04,GB,0.119999
2013-09-04,US,0.108999
2013-09-04,NL,0.157999
2013-09-05,GB,0.139999
2013-09-05,US,0.101
2013-09-05,NL,0.156
2013-09-06,GB,0.14
2013-09-06,US,0.069999
2013-09-06,NL,0.108999
2013-09-09,GB,0.169
2013-09-09,US,0.1
2013-09-09,NL,0.156
2013-09-10,GB,0.240999
2013-09-10,US,0.098999
2013-09-10,NL,0.197999
2013-09-12,GB,0.109999
2013-09-12,US,0.100999
2013-09-12,NL,0.188
2013-09-13,GB,0.138999
2013-09-13,US,0.101
2013-09-13,NL,0.215999
2013-09-16,GB,0.109999
2013-09-16,US,0.09
2013-09-16,NL,0.203999
2013-09-17,GB,0.101
2013-09-17,US,0.108999
2013-09-17,NL,0.197
2013-09-18,GB,0.120999
2013-09-18,US,0.084
2013-09-18,NL,0.213999
2013-09-19,GB,0.13
2013-09-19,US,0.09
2013-09-19,NL,0.187
2013-09-20,GB,0.14
2013-09-20,US,0.08
2013-09-20,NL,0.203
2013-09-23,GB,0.13
2013-09-23,US,0.089999
2013-09-23,NL,0.202999
2013-09-24,GB,0.13
2013-09-24,US,0.09
2013-09-24,NL,0.251
2013-09-25,GB,0.126
2013-09-25,US,0.070999
2013-09-25,NL,0.190999
2013-09-26,GB,0.155999
2013-09-26,US,0.098999
2013-09-26,NL,0.220999
2013-09-27,GB,0.148999
2013-09-27,US,0.088999
2013-09-27,NL,0.203
2013-09-30,GB,0.129999
2013-09-30,US,0.07
2013-09-30,NL,0.203
2013-10-01,GB,0.179999
2013-10-01,US,0.069999
2013-10-01,NL,0.186999
2013-10-02,GB,0.13
2013-10-02,US,0.088
2013-10-02,NL,0.171999
2013-10-03,GB,0.190999
2013-10-03,US,0.068999
2013-10-03,NL,0.178
2013-10-04,GB,0.190999
2013-10-04,US,0.08
2013-10-04,NL,0.219
2013-10-07,GB,0.119999
2013-10-07,US,0.079
2013-10-07,NL,0.205999
2013-10-08,GB,0.183999
2013-10-08,US,0.068999
2013-10-08,NL,0.186
2013-10-09,GB,0.149
2013-10-09,US,0.05
2013-10-09,NL,0.187
2013-10-10,GB,0.138999
2013-10-10,US,0.069999
2013-10-10,NL,0.182
2013-10-11,GB,0.238999
2013-10-11,US,0.09
2013-10-11,NL,0.278
2013-10-14,GB,0.209999
2013-10-14,US,0.09
2013-10-14,NL,0.249999
2013-10-15,GB,0.170999
2013-10-15,US,0.061
2013-10-15,NL,0.223
2013-10-16,GB,0.13
2013-10-16,US,0.069999
2013-10-16,NL,0.188
2013-10-17,GB,0.230499
2013-10-17,US,0.089999
2013-10-17,NL,0.256
2013-10-18,GB,0.209999
2013-10-18,US,0.09
2013-10-18,NL,0.303
2013-10-21,GB,0.191
2013-10-21,US,0.1
2013-10-21,NL,0.312
2013-10-22,GB,0.189
2013-10-22,US,0.079999
2013-10-22,NL,0.189999
2013-10-23,GB,0.221
2013-10-23,US,0.08
2013-10-23,NL,0.218999
2013-10-24,GB,0.150999
2013-10-24,US,0.089999
2013-10-24,NL,0.219
2013-10-25,GB,0.14
2013-10-25,US,0.09
2013-10-25,NL,0.219
2013-10-28,GB,0.249999
2013-10-28,US,0.09
2013-10-28,NL,0.292999
2013-10-29,GB,0.200999
2013-10-29,US,0.082
2013-10-29,NL,0.245
2013-10-30,GB,0.119999
2013-10-30,US,0.08
2013-10-30,NL,0.219999
2013-10-31,GB,0.196
2013-10-31,US,0.069999
2013-10-31,NL,0.140999
2013-11-01,GB,0.17
