date,market1,market2,lag
2008-09-17,GB,NL,-2000
2008-09-17,NL,US,2000
2008-09-17,US,NL,-2000
2008-10-01,US,GB,-2000
2008-10-01,GB,US,2000
2008-10-01,NL,GB,2000
2008-10-01,GB,NL,-2000
2008-10-01,NL,US,4000
2008-10-01,US,NL,-4000
2008-10-15,US,GB,0
2008-10-15,GB,US,0
2008-10-15,NL,GB,4000
2008-10-15,GB,NL,-4000
2008-10-15,NL,US,2000
2008-10-15,US,NL,-2000
2008-10-29,US,GB,-2000
2008-10-29,GB,US,2000
2008-10-29,NL,GB,2000
2008-10-29,GB,NL,-2000
2008-10-29,NL,US,4000
2008-10-29,US,NL,-4000
2008-11-12,US,GB,0
2008-11-12,GB,US,0
2008-11-12,NL,GB,2000
2008-11-12,GB,NL,-2000
2008-11-12,NL,US,0
2008-11-12,US,NL,0
2008-11-26,US,GB,0
2008-11-26,GB,US,0
2008-11-26,NL,GB,0
2008-11-26,GB,NL,0
2008-11-26,NL,US,2000
2008-11-26,US,NL,-2000
2008-12-10,US,GB,0
2008-12-10,GB,US,0
2008-12-10,NL,GB,2000
2008-12-10,GB,NL,-2000
2008-12-10,NL,US,2000
2008-12-10,US,NL,-2000
2008-12-24,US,GB,-17472400
2008-12-24,GB,US,17472400
2008-12-24,NL,GB,-6000
2008-12-24,GB,NL,6000
2008-12-24,NL,US,-17472400
2008-12-24,US,NL,17472400
2009-01-09,US,GB,2000
2009-01-09,GB,US,-2000
2009-01-09,NL,GB,8000
2009-01-09,GB,NL,-8000
2009-01-09,NL,US,0
2009-01-09,US,NL,0
2009-01-23,US,GB,0
2009-01-23,GB,US,0
2009-01-23,NL,GB,0
2009-01-23,GB,NL,0
2009-01-23,NL,US,2000
2009-01-23,US,NL,-2000
2009-02-06,US,GB,0
2009-02-06,GB,US,0
2009-02-06,NL,GB,2000
2009-02-06,GB,NL,-2000
2009-02-06,NL,US,2000
2009-02-06,US,NL,-2000
2009-02-20,US,GB,4000
2009-02-20,GB,US,-4000
2009-02-20,NL,GB,2000
2009-02-20,GB,NL,-2000
2009-02-20,NL,US,-2000
2009-02-20,US,NL,2000
2009-03-06,US,GB,0
2009-03-06,GB,US,0
2009-03-06,NL,GB,10000
2009-03-06,GB,NL,-10000
2009-03-06,NL,US,2000
2009-03-06,US,NL,-2000
2009-03-20,US,GB,0
2009-03-20,GB,US,0
2009-03-20,NL,GB,14000
2009-03-20,GB,NL,-14000
2009-03-20,NL,US,10000
2009-03-20,US,NL,-10000
2009-04-03,US,GB,-2000
2009-04-03,GB,US,2000
2009-04-03,NL,GB,8000
2009-04-03,GB,NL,-8000
2009-04-03,NL,US,2000
2009-04-03,US,NL,-2000
2009-04-20,US,GB,6000
2009-04-20,GB,US,-6000
2009-04-20,NL,GB,16000
2009-04-20,GB,NL,-16000
2009-04-20,NL,US,-2000
2009-04-20,US,NL,2000
2009-05-18,US,GB,2000
2009-05-18,GB,US,-2000
2009-05-18,NL,GB,2000
2009-05-18,GB,NL,-2000
2009-05-18,NL,US,2000
2009-05-18,US,NL,-2000
2009-06-01,US,GB,10000
2009-06-01,GB,US,-10000
2009-06-01,NL,GB,38500
2009-06-01,GB,NL,-38500
2009-06-01,NL,US,2000
2009-06-01,US,NL,-2000
2009-06-15,US,GB,0
2009-06-15,GB,US,0
2009-06-15,NL,GB,4000
2009-06-15,GB,NL,-4000
2009-06-15,NL,US,0
2009-06-15,US,NL,0
2009-06-29,US,GB,0
2009-06-29,GB,US,0
2009-06-29,NL,GB,6000
2009-06-29,GB,NL,-6000
2009-06-29,NL,US,0
2009-06-29,US,NL,0
2009-07-13,US,GB,4000
2009-07-13,GB,US,-4000
2009-07-13,NL,GB,0
2009-07-13,GB,NL,0
2009-07-13,NL,US,6000
2009-07-13,US,NL,-6000
2009-07-27,US,GB,2000
2009-07-27,GB,US,-2000
2009-07-27,NL,GB,36250
2009-07-27,GB,NL,-36250
2009-07-27,NL,US,8000
2009-07-27,US,NL,-8000
2009-08-10,US,GB,-6000
2009-08-10,GB,US,6000
